PCA1,PCA2,Cluster
-0.10531882150894845,0.6233149301056113,2
1.6582188525663235,0.05304821239571027,1
1.0806145641476705,0.5455577375481901,1
0.12376834746818022,1.4528283712289867,2
-0.07213650030852348,-0.5795474746674141,0
-0.13901462474134108,-0.5485225208141578,0
1.508244574932673,2.461803703849236,1
0.18825691146831636,1.1191875671451745,2
0.11546731552566625,-0.8886184510488873,0
-0.4440079540673404,0.10933304377454997,2
0.021653019485727953,-0.47313420437716386,0
-1.0160860002695988,-0.48567788286926555,0
-1.1931258258889945,0.2879342245432852,2
0.352670330137864,-1.4082379680192387,0
-0.14898130414674804,-1.3473093951800241,0
-1.1107381658824267,-0.6134776876855361,0
-1.2478210382703094,-1.1575790814813502,0
0.1944898384353786,-0.366876253317283,1
0.2766497110276106,-1.0908936402362626,0
1.3607049669586515,-1.5064762570019503,1
0.08910214696826668,1.52895871434,2
1.3415562321082337,0.46923155728713145,1
1.2013145467048159,0.10006840985484207,1
1.1613600194661307,-1.3901368573846218,1
1.5808835393597298,-0.32377608943547054,1
0.33160140664855486,0.15505865287321022,1
1.6772081875641605,-1.1895187144714823,1
-1.0553412604506618,0.47753392497564207,2
-0.1537936360170652,-0.15846892172492788,0
1.4817007468206431,-0.6909490164195946,1
-0.056415670106789606,-0.6275333199588482,0
-0.0641282172687837,1.6413358400029314,2
-0.08337067072226312,0.06873215222772561,0
1.4419460225733172,-1.4616083295642117,1
-0.41354395140222366,0.6597628494850187,2
1.1308524003811566,-1.3221400309118991,1
1.470788978784892,0.4635320272535656,1
0.1567347313374029,-1.0927581754055806,0
-1.2210037706637884,-1.668524175208074,0
1.5953755403541146,0.2022491016904428,1
1.120481906230077,0.5278130676748529,1
-0.17288107150488297,-0.2682843459055021,0
0.24205830996886601,-0.2325935569564952,0
-0.0848113880109782,-0.5038989749171181,0
1.3483989491476742,-0.6116614682077719,1
-1.0102169310087277,-0.7911665070722735,0
1.0582404063548507,-0.9515933246113992,1
1.2190813371323963,0.92719430217582,1
-0.3240525224666453,0.5373613438758339,2
1.5267902422301356,-0.725051647221354,1
-0.11134865050205867,-0.19084187972417105,2
-0.49565571858052837,-0.9958939564975722,0
-1.0989367676756083,-0.26515346814856483,0
-0.20286440936293415,0.6956800487154349,2
0.054302394927016495,0.8113793033180734,2
-0.37321307998173986,1.0374160193792856,2
1.3414900275832204,-1.6199525561808958,1
0.3275442690597792,-0.42969573008162043,0
-1.2168856823266418,0.3995642003446153,2
0.13706091817754107,1.2817286912499,2
-0.38862455731787576,-0.8709760091453542,0
1.1060627884745449,-0.1772756461974968,1
1.2713869787682461,-1.4813961413616183,1
1.2501272711253164,-1.2452593241804786,1
-0.10033860433312691,0.5263474280179723,2
1.018791471581343,1.3134762340428103,1
-0.06577421736658551,-0.45639301263174353,0
1.190559802387125,1.239439938168297,1
1.0344906713294346,0.624007876707579,1
1.4560205677198628,-0.8282556776784977,1
1.1062245512511228,0.3752478352531856,1
0.8728627007243601,1.2605454255981956,1
0.04015642020018895,-0.14830650241989463,0
1.1056619886257857,1.6774168958898195,1
1.1898887668331544,-0.5626710697095929,1
-1.3908147943142022,0.5325150855329911,2
-0.04473932646108336,0.42586206723113423,2
0.12263360851474547,-0.1527748347708415,0
-1.2212330835365248,0.03921187002330266,0
0.4434637464467772,-0.817903559265881,0
0.005651516230955056,-0.24096428543467602,0
0.22771943162273078,0.4309069602508166,2
1.4494721287912165,1.553081487761139,1
1.4356492635224956,-0.29338309653258604,1
-0.00034083884550017984,-0.6276924579165541,0
-1.0747536603564822,-0.8081198058823087,0
-1.2277374888301495,0.5040829758360397,2
-1.3164887061263595,0.17352156551491743,2
-0.3495010391113811,-0.8922098629823014,0
0.058336444950896627,0.4460556872841295,2
-0.06059583994353057,0.4125662211491468,2
-0.0026527469430165374,0.8169549215040792,2
-0.08111732891280388,-0.8390030152513861,0
0.01761732474297717,-0.4304119686330945,0
0.035874426696325346,-0.2959765837802698,0
0.25357989672759196,-1.916424876775244,0
-1.1931724175299943,0.05624220991347788,2
-1.2320308945233038,0.2025936293047838,2
1.3274389034915806,0.2625301492583906,1
-0.3480048743875278,-0.48931977881580974,0
-1.100594104769672,-1.8886658380512307,0
0.35707714732404194,-0.34344293106691726,0
-0.03664378836092741,-0.6500279671328277,0
-1.1452940106399674,-1.3135407501569145,0
-1.252889832996554,-0.4820357742508237,0
-1.0987653524260788,0.32880834087312455,2
-0.3951353503310672,1.8339848182735314,2
1.0745821143313858,-0.4901140700025561,1
1.129459706543844,0.48636326435040433,1
-1.060811814512,0.14809838678882292,0
-1.2102549311931816,-1.188409555290261,0
-0.33072526194884044,-0.4149720201352424,0
1.081518182421505,0.00947964102749696,1
-0.2247093418462705,2.625026006314966,2
0.09434351496981197,-0.10837214702326875,0
1.2051778090597107,0.4351330310377816,1
1.1490043432633275,-0.2751321678214726,1
0.20093443371146602,-1.3200567827848002,0
0.9854273400110352,1.3188104636845723,1
1.557930780351727,1.1452480568162897,1
-0.11203630439837453,0.9773508042348935,2
1.4324271688474028,-0.8345513169489356,1
1.547814786410624,1.4737092984723736,1
-0.24854053223109046,-0.8922004833150907,0
-0.27998997924336666,0.6340114992549823,2
-0.24842519530907514,2.057916679154683,2
1.0679758999842817,-0.7518916765618255,1
1.1833561182904593,-0.48243388241523827,1
0.20435207056880267,-0.11280405255447068,0
-0.3575615073602337,-0.7884163167977374,0
1.0797082541587493,-1.2000904296285195,1
-0.08672974535761369,0.09380913140738648,0
1.5695551732734803,-1.0815621994961846,1
-1.2193598181204997,0.5112804141670824,2
0.26737153603038544,-0.6269974096418753,0
0.99645959678563,1.9265444570443522,1
-0.15030551361859013,-0.8645158892929505,0
0.367923367912383,-0.1483926725952236,0
0.2285314311955382,0.49825606389067245,2
1.6761581495486122,-1.195593423542218,1
0.30081984180139454,0.6800790550834894,2
-0.18336398061133474,1.319353925322252,2
-1.2859861667632018,-1.5614581843801225,0
-1.3313794008290594,-0.1050643523522364,0
1.538317587569224,-0.043651712674515786,1
0.9472523941926934,0.5504498589311799,1
0.09562868158380666,-1.4462705904023523,0
-1.1400640863444784,-1.748347436146652,0
-0.13274000843853107,0.49808681592014653,2
-0.1599006358648284,0.45819925830573627,2
-0.07590955207980266,-0.08471132853572777,0
0.11407226009254601,0.7247398269855703,2
-0.2188975637546704,-0.7057584322938761,0
