Age,AnnualIncome,AverageTransactionValue,DiscountSensitivity,ShoppingFrequency,AgeGroup,Cluster
-0.1211378259973846,0.5884098476762158,0.4605504804747558,1.0,1.0,1.0,2
1.279424018511685,0.9833700607008232,-0.2533763380737234,1.0,2.0,2.0,1
0.7407463860081968,-0.3076645181583831,0.6303189050429768,0.0,2.0,2.0,1
0.309804280005406,-0.5867346322034397,1.614076332176708,1.0,0.0,1.0,2
-0.0134022994966869,-1.0566036618852108,-0.3613085815078242,1.0,0.0,1.0,0
-0.1211378259973846,-0.7985457689581783,-0.3613085815078242,1.0,1.0,1.0,0
1.1716884920109871,2.6873096868136828,1.677036807513267,0.0,0.0,2.0,1
0.309804280005406,1.2580688379648253,0.7641099151331643,0.0,1.0,1.0,2
0.309804280005406,-1.3207714914493995,-0.6255177190808834,0.0,0.0,1.0,0
-0.4443444054994776,-1.2923578023725442,0.5122680137869291,1.0,2.0,1.0,2
-0.0134022994966869,0.5002379978310796,-0.6187719538662522,1.0,2.0,1.0,0
-0.5520799320001752,0.5652119581676645,-0.6221448364735678,1.0,2.0,0.0,0
-0.659815458500873,0.566801535178957,0.1738554588529255,0.0,2.0,0.0,2
0.4175398065061037,-0.2318118901507644,-1.391162070941536,1.0,2.0,1.0,0
-0.2288733524980822,-0.1031555007992698,-1.391162070941536,1.0,1.0,1.0,0
-0.659815458500873,0.347241210494167,-0.7300770799076686,1.0,1.0,0.0,0
-0.7675509850015706,0.1068176875361616,-1.2371337652074543,0.0,1.0,0.0,0
0.4175398065061037,-2.183365391483648,0.2548046414285012,1.0,2.0,1.0,1
0.4175398065061037,-0.206776052222906,-1.119082873951407,0.0,1.0,1.0,0
0.956217439009592,-0.8243763953916831,-1.391162070941536,1.0,1.0,2.0,1
0.2020687535047084,0.1955856287605326,1.5499915626377108,1.0,2.0,1.0,2
0.8484819125088944,2.6873096868136828,-0.3523142278883158,0.0,1.0,2.0,1
0.7407463860081968,0.3865832415236588,-0.021771732371382,1.0,2.0,2.0,1
0.7407463860081968,-0.2899804739077529,-1.391162070941536,0.0,2.0,2.0,1
1.1716884920109871,0.937322001654941,-0.7098397842637747,1.0,0.0,2.0,1
0.4175398065061037,0.5010327863367259,0.0265729183334755,1.0,2.0,1.0,1
1.279424018511685,0.438840585769903,-1.391162070941536,1.0,2.0,2.0,1
-0.5520799320001752,0.6244237018383137,0.3245108819796913,1.0,1.0,0.0,2
-0.3366088789987799,2.06463014835101,-0.773924553802772,1.0,1.0,1.0,0
1.1716884920109871,-1.1020059552702557,-0.42651764524926,1.0,2.0,2.0,1
-0.1211378259973846,0.492041741366602,-0.7750488480052106,1.0,2.0,1.0,0
0.0943332270040107,-0.8988381435144206,1.983969124778991,1.0,2.0,1.0,2
-0.1211378259973846,0.5734082146321419,-0.1128395627689046,1.0,1.0,1.0,0
